oa_code,All people,No condition,One or more conditions,Deafness or partial hearing loss,Blindness or partial sight loss,Learning disability,Learning difficulty,Developmental disorder,Physical disability,Mental health condition,Other condition
S00116985,100,73,27,2,3,1,5,0,7,5,14
S00116986,127,103,24,4,0,0,2,1,4,7,15
S00116987,101,72,29,7,5,0,3,0,5,5,15
S00116988,88,72,16,0,1,0,3,0,5,5,8
S00116989,106,84,22,1,1,0,0,0,3,4,17
S00116990,83,52,31,4,2,0,0,2,8,12,16
S00116991,65,58,7,0,1,0,1,0,1,0,5
S00116992,134,90,44,13,4,4,5,5,11,7,35
S00116993,82,53,29,10,1,0,3,1,10,3,18
S00116994,63,27,36,14,2,0,0,0,16,3,25
S00116995,104,75,29,2,2,0,0,0,5,2,21
S00116996,180,125,55,9,2,0,0,0,10,9,44
S00116997,98,63,35,5,4,0,0,0,10,4,21
S00116998,108,74,34,10,7,0,0,0,5,7,20
S00116999,140,105,35,8,3,2,2,1,11,4,22
S00117000,83,46,37,11,1,2,1,0,6,4,28
S00117001,136,88,48,12,3,0,1,2,8,6,39
S00117002,70,44,26,9,1,0,5,1,3,1,14
S00117003,135,105,30,1,0,0,2,0,8,3,23
S00117004,132,97,35,8,0,1,3,0,11,5,23
S00117005,104,75,29,3,0,0,0,2,8,7,17
S00117006,83,53,30,1,0,0,2,1,6,11,20
S00117007,109,73,36,8,5,1,4,0,11,11,21
S00117008,86,61,25,6,3,1,3,0,7,11,16
S00117009,68,34,34,5,5,4,4,4,19,8,21
S00117010,105,76,29,3,4,0,4,0,7,12,13
S00117011,87,68,19,4,2,0,3,0,7,5,11
S00117012,136,101,35,3,7,0,5,1,12,8,22
S00117013,90,55,35,8,2,1,3,1,7,12,16
S00117014,155,112,43,6,7,3,3,4,13,16,24
S00117015,118,98,20,3,2,1,3,0,4,7,12
S00117016,91,77,14,2,3,0,0,0,5,7,7
S00117017,110,81,29,1,1,0,1,0,7,2,24
S00117018,79,57,22,2,1,0,1,0,6,9,11
S00117019,115,87,28,2,1,1,7,1,9,10,10
S00117020,84,62,22,4,2,0,2,0,3,12,7
S00117021,122,89,33,7,5,0,0,0,9,3,22
S00117022,61,31,30,8,4,0,1,0,12,6,23
S00117023,113,75,38,6,5,1,4,0,7,11,21
S00117024,62,43,19,4,2,0,0,0,7,9,10
S00117025,71,37,34,6,4,1,2,0,7,11,16
S00117026,59,35,24,4,2,1,2,0,11,9,11
S00117027,146,124,22,3,3,0,1,0,6,3,15
S00117028,109,67,42,10,4,3,2,1,11,6,29
S00117029,110,72,38,9,2,0,0,0,12,7,25
S00117030,74,47,27,3,2,0,1,0,7,8,19
S00117031,60,25,35,11,3,1,2,0,12,8,23
S00117032,106,75,31,1,1,0,1,3,1,9,19
S00117033,65,45,20,3,2,1,3,3,4,2,13
S00117034,145,84,61,16,4,1,1,3,9,11,40
S00117035,81,54,27,6,1,3,0,1,10,6,13
S00117036,104,73,31,2,1,1,2,2,4,5,20
S00117037,67,56,11,1,0,0,2,0,1,2,8
S00117038,202,164,38,3,0,2,2,3,7,3,27
S00117039,129,110,19,2,2,0,0,1,2,3,14
S00117040,107,91,16,1,0,0,4,0,1,1,10
S00117041,213,175,38,6,2,0,1,3,8,5,24
S00117042,151,124,27,2,2,1,2,1,4,4,16
S00117043,144,114,30,7,3,1,0,3,8,5,17
S00117044,161,119,42,8,0,0,2,1,12,11,27
S00117045,131,77,54,15,3,0,2,1,14,13,32
S00117046,113,65,48,12,0,0,2,0,17,15,30
S00117047,130,107,23,6,4,3,5,0,3,3,15
S00117048,69,45,24,2,2,0,2,0,8,8,13
S00117049,76,49,27,7,1,0,2,0,7,7,15
S00117050,119,82,37,11,5,0,0,0,6,8,23
S00117051,83,58,25,2,0,0,1,1,4,7,12
S00117052,75,56,19,1,0,0,2,3,1,4,11
S00117053,124,97,27,7,1,0,1,0,5,0,20
S00117054,99,80,19,4,0,0,2,0,2,2,14
S00117055,166,136,30,6,1,0,4,2,5,4,18
S00117056,163,136,27,2,1,0,2,0,3,5,17
S00117057,146,80,66,5,6,1,3,2,24,20,47
S00117058,245,209,36,7,6,1,2,2,5,2,28
S00117059,75,65,10,1,1,0,1,0,3,3,4
S00117060,82,52,30,1,3,0,1,0,12,6,10
S00117061,124,102,22,4,0,1,3,2,5,8,11
S00117062,90,70,20,5,1,0,2,1,8,2,13
S00117063,66,41,25,4,2,0,1,0,4,7,15
S00117064,83,55,28,4,2,0,6,2,4,15,12
S00117065,87,71,16,0,2,2,3,1,4,3,10
S00117066,88,45,43,11,5,0,5,2,13,13,29
S00117067,68,39,29,3,1,0,2,0,9,8,23
S00117068,73,33,40,8,2,1,2,0,14,11,26
S00117069,136,75,61,19,11,0,3,0,16,3,36
S00117070,54,37,17,6,3,0,1,1,6,5,11
S00117071,90,70,20,3,0,0,3,2,7,8,8
S00117072,164,73,91,21,10,3,3,3,30,6,58
S00117073,86,37,49,18,5,1,1,0,18,6,31
S00117074,68,30,38,6,1,3,3,1,12,9,24
S00117075,125,74,51,10,5,1,4,1,15,11,31
